trade_id,log_file,signal_ts,direction,entry_ts,entry_price,entry_spot,expiry,strike,right,exit_ts,exit_price,exit_reason,hold_min,pnl_pts,pnl_rs,mfe_pts,mfe_pct,mfe_ts,mae_pts,mae_pct,mae_ts,pnl_at_mfe_rs,trail_15_exit_pts,trail_15_exit_rs,trail_15_reason,trail_20_exit_pts,trail_20_exit_rs,trail_20_reason,trail_25_exit_pts,trail_25_exit_rs,trail_25_reason,trail_30_exit_pts,trail_30_exit_rs,trail_30_reason,pnl_rs_40lots
829,trade_0829_2024-02-09_0955_B.csv,2024-02-09 09:50:00,bearish,2024-02-09 09:55:00,253.55,21676.15,2024-02-15,21850,pe,2024-02-09 10:25:00,228.85,max_hold,30,-24.7,-1606.0,15.35,6.05,2024-02-09 10:00:00,40.95,16.15,2024-02-09 10:14:00,998.0,-25.35,-1648.0,trail_stop,-39.55,-2571.0,trail_stop,-24.7,-1606.0,max_hold,-24.7,-1606.0,max_hold,-64220
846,trade_0846_2024-03-22_0920_B.csv,2024-03-22 09:15:00,bearish,2024-03-22 09:20:00,163.8,21966.15,2024-03-28,22100,pe,2024-03-22 09:23:00,180.18,profit_target,3,16.38,1065.0,16.15,9.86,2024-03-22 09:23:00,0.0,0.0,,1050.0,16.38,1065.0,profit_target,16.38,1065.0,profit_target,16.38,1065.0,profit_target,16.38,1065.0,profit_target,42588
853,trade_0853_2024-04-05_1405_B.csv,2024-04-05 14:00:00,bullish,2024-04-05 14:05:00,235.5,22523.45,2024-04-10,22350,ce,2024-04-05 14:35:00,215.15,max_hold,30,-20.35,-1323.0,0.0,0.0,,20.35,8.64,2024-04-05 14:35:00,0.0,-20.35,-1323.0,max_hold,-20.35,-1323.0,max_hold,-20.35,-1323.0,max_hold,-20.35,-1323.0,max_hold,-52910
861,trade_0861_2024-05-03_0920_B.csv,2024-05-03 09:15:00,bullish,2024-05-03 09:20:00,265.05,22769.6,2024-05-09,22600,ce,2024-05-03 09:50:00,267.95,max_hold,30,2.9,188.0,13.05,4.92,2024-05-03 09:29:00,2.25,0.85,2024-05-03 09:20:00,848.0,2.9,188.0,max_hold,2.9,188.0,max_hold,2.9,188.0,max_hold,2.9,188.0,max_hold,7540
883,trade_0883_2024-06-21_1430_B.csv,2024-06-21 14:25:00,bearish,2024-06-21 14:30:00,221.5,23443.4,2024-06-27,23600,pe,2024-06-21 14:35:00,243.65,profit_target,5,22.15,1440.0,25.0,11.29,2024-06-21 14:35:00,16.4,7.4,2024-06-21 14:31:00,1625.0,22.15,1440.0,profit_target,22.15,1440.0,profit_target,22.15,1440.0,profit_target,22.15,1440.0,profit_target,57590
888,trade_0888_2024-06-28_1405_B.csv,2024-06-28 14:00:00,bullish,2024-06-28 14:05:00,267.0,24102.2,2024-07-04,23950,ce,2024-06-28 14:10:00,293.7,profit_target,5,26.7,1736.0,26.1,9.78,2024-06-28 14:09:00,0.0,0.0,,1696.0,26.7,1736.0,profit_target,26.7,1736.0,profit_target,26.7,1736.0,profit_target,26.7,1736.0,profit_target,69420
890,trade_0890_2024-07-05_1425_B.csv,2024-07-05 14:20:00,bearish,2024-07-05 14:25:00,201.95,24232.2,2024-07-11,24400,pe,2024-07-05 14:55:00,215.85,max_hold,30,13.9,904.0,16.4,8.12,2024-07-05 14:53:00,4.8,2.38,2024-07-05 14:39:00,1066.0,13.9,904.0,max_hold,13.9,904.0,max_hold,13.9,904.0,max_hold,13.9,904.0,max_hold,36140
901,trade_0901_2024-08-02_0920_B.csv,2024-08-02 09:15:00,bearish,2024-08-02 09:20:00,259.55,24829.9,2024-08-08,25000,pe,2024-08-02 09:40:00,285.51,profit_target,20,25.96,1687.0,26.45,10.19,2024-08-02 09:40:00,11.65,4.49,2024-08-02 09:27:00,1719.0,25.96,1687.0,profit_target,25.96,1687.0,profit_target,25.96,1687.0,profit_target,25.96,1687.0,profit_target,67496
920,trade_0920_2024-09-20_1335_B.csv,2024-09-20 13:30:00,bearish,2024-09-20 13:35:00,236.0,25628.2,2024-09-26,25800,pe,2024-09-20 13:36:00,259.6,profit_target,1,23.6,1534.0,28.05,11.89,2024-09-20 13:36:00,0.0,0.0,,1823.0,23.6,1534.0,profit_target,23.6,1534.0,profit_target,23.6,1534.0,profit_target,23.6,1534.0,profit_target,61360
925,trade_0925_2024-10-04_1240_B.csv,2024-10-04 12:35:00,bearish,2024-10-04 12:40:00,255.75,25289.25,2024-10-10,25450,pe,2024-10-04 12:42:00,281.33,profit_target,2,25.58,1663.0,25.65,10.03,2024-10-04 12:42:00,0.35,0.14,2024-10-04 12:40:00,1667.0,25.58,1662.0,profit_target,25.58,1662.0,profit_target,25.58,1662.0,profit_target,25.58,1662.0,profit_target,66508
934,trade_0934_2024-10-25_0940_B.csv,2024-10-25 09:35:00,bearish,2024-10-25 09:40:00,243.95,24327.65,2024-10-31,24500,pe,2024-10-25 09:49:00,268.35,profit_target,9,24.4,1586.0,24.2,9.92,2024-10-25 09:49:00,9.75,4.0,2024-10-25 09:45:00,1573.0,24.4,1586.0,profit_target,24.4,1586.0,profit_target,24.4,1586.0,profit_target,24.4,1586.0,profit_target,63440
943,trade_0943_2024-11-22_0920_B.csv,2024-11-22 09:15:00,bullish,2024-11-22 09:20:00,295.4,23420.25,2024-11-28,23250,ce,2024-11-22 09:22:00,324.94,profit_target,2,29.54,1920.0,63.4,21.46,2024-11-22 09:22:00,0.0,0.0,,4121.0,29.54,1920.0,profit_target,29.54,1920.0,profit_target,29.54,1920.0,profit_target,29.54,1920.0,profit_target,76804
962,trade_0962_2024-12-20_0940_B.csv,2024-12-20 09:35:00,bullish,2024-12-20 09:40:00,298.9,24032.15,2024-12-26,23900,ce,2024-12-20 09:45:00,312.6,trend_flip,5,13.7,890.0,21.15,7.08,2024-12-20 09:40:00,0.0,0.0,,1375.0,13.7,891.0,trend_flip,13.7,891.0,trend_flip,13.7,891.0,trend_flip,13.7,891.0,trend_flip,35620
964,trade_0964_2024-12-27_0920_B.csv,2024-12-27 09:15:00,bullish,2024-12-27 09:20:00,309.95,23822.9,2025-01-02,23650,ce,2024-12-27 09:46:00,340.94,profit_target,26,31.0,2015.0,31.6,10.2,2024-12-27 09:46:00,17.0,5.48,2024-12-27 09:38:00,2054.0,31.0,2015.0,profit_target,31.0,2015.0,profit_target,31.0,2015.0,profit_target,31.0,2015.0,profit_target,80600
967,trade_0967_2025-01-03_1400_B.csv,2025-01-03 13:55:00,bearish,2025-01-03 14:00:00,263.65,24041.25,2025-01-09,24200,pe,2025-01-03 14:30:00,255.0,max_hold,30,-8.65,-562.0,10.0,3.79,2025-01-03 14:10:00,8.65,3.28,2025-01-03 14:30:00,650.0,-8.65,-562.0,max_hold,-8.65,-562.0,max_hold,-8.65,-562.0,max_hold,-8.65,-562.0,max_hold,-22490
